DocID,DocURL
D:/data/crawl/PagesDownloaded/httpgouldusceduacademicsstatebarexaminationsbaradmissionincalifornia.html,http://gould.usc.edu/academics/state-bar-examinations/bar-admission-in-california/
D:/data/crawl/PagesDownloaded/httpgouldusceduacademicscurriculumgradingsystem.html,http://gould.usc.edu/academics/curriculum/grading-system/
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutcommunityid640.html,http://gould.usc.edu/about/community/?id=640
D:/data/crawl/PagesDownloaded/httpgouldusceduacademicsstatebarexaminationssubjectstestedonthecaliforniabarexam.html,http://gould.usc.edu/academics/state-bar-examinations/subjects-tested-on-the-california-bar-exam/
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutcontact.html,http://gould.usc.edu/about/contact/
D:/data/crawl/PagesDownloaded/httpgouldusceduhowtransferearlydecisioncfm.html,http://gould.usc.edu/how/transfer/earlydecision.cfm
D:/data/crawl/PagesDownloaded/httpgouldusceduacademicscurriculum.html,http://gould.usc.edu/academics/curriculum/
D:/data/crawl/PagesDownloaded/httpgoulduscedusearchquerygpa.html,http://gould.usc.edu/search/?query=gpa
D:/data/crawl/PagesDownloaded/httpgouldusceduacademicsmediaentertainmentandtechnologylawprogram.html,http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/
D:/data/crawl/PagesDownloaded/httpgouldusceduhowjdfinaidapplycfm.html,http://gould.usc.edu/how/jd/finaid/apply.cfm
D:/data/crawl/PagesDownloaded/httpgoulduscedusearchquerylibrary2Bhours.html,http://gould.usc.edu/search/?query=library%2Bhours
D:/data/crawl/PagesDownloaded/httpgouldusceduacademicscurriculumfirstyearcurriculum.html,http://gould.usc.edu/academics/curriculum/first-year-curriculum/
D:/data/crawl/PagesDownloaded/httpgouldusceduacademicsbusinesslawprogram.html,http://gould.usc.edu/academics/business-law-program/
D:/data/crawl/PagesDownloaded/httpgoulduscedueventsprinteventinfocfmeventid5352.html,http://gould.usc.edu/events/printeventinfo.cfm?eventid=5352
D:/data/crawl/PagesDownloaded/httpgoulduscedustudentsfirstgenerationprofessionals.html,http://gould.usc.edu/students/first-generation-professionals/
D:/data/crawl/PagesDownloaded/httpgouldusceduhowjdrothmanbiocfm.html,http://gould.usc.edu/how/jd/rothman/bio.cfm
D:/data/crawl/PagesDownloaded/httpgouldusceduhowjdrecruitingSchedulecfm.html,http://gould.usc.edu/how/jd/recruitingSchedule.cfm
D:/data/crawl/PagesDownloaded/httpgouldusceduacademicsmedia2Dentertainment2Dand2Dtechnology2Dlaw2Dprogramopportunities.html,http://gould.usc.edu/academics/media%2Dentertainment%2Dand%2Dtechnology%2Dlaw%2Dprogram/opportunities/
D:/data/crawl/PagesDownloaded/httpgouldusceduwhystudentsorgs.html,http://gould.usc.edu/why/students/orgs/
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutboard.html,http://gould.usc.edu/about/board/
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutcontactlecturerscontactInfocfmdetailID23746.html,http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=23746
D:/data/crawl/PagesDownloaded/httpgoulduscedufacultynews.html,http://gould.usc.edu/faculty/news/
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutabarequireddisclosuresclassprofile.html,http://gould.usc.edu/about/aba-required-disclosures/class-profile/
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutcontactlecturerscontactInfocfmdetailID322.html,http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=322
D:/data/crawl/PagesDownloaded/httpgoulduscedugivingcounselcfm.html,http://gould.usc.edu/giving/counsel.cfm
D:/data/crawl/PagesDownloaded/httpgoulduscedufacultydistinctions.html,http://gould.usc.edu/faculty/distinctions/
D:/data/crawl/PagesDownloaded/httpgouldusceduhowgipstudyabroadcfm.html,http://gould.usc.edu/how/gip/studyabroad.cfm
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutcontactlecturerscontactInfocfmdetailID68441.html,http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=68441
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutabarequireddisclosureswithdrawaltuitionrefundpolicy.html,http://gould.usc.edu/about/aba-required-disclosures/withdrawal-tuition-refund-policy/
D:/data/crawl/PagesDownloaded/httpgouldusceduacademicsmediaentertainmentandtechnologylawprogramfaculty.html,http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/faculty/
D:/data/crawl/PagesDownloaded/httpgoulduscedusearchquerytransfer2Bstudents.html,http://gould.usc.edu/search/?query=transfer%2Bstudents
D:/data/crawl/PagesDownloaded/httpgouldusceduacademicsmediaentertainmentandtechnologylawprogramcontact.html,http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/contact/
D:/data/crawl/PagesDownloaded/httpgoulduscedualumnicontactinfocfm.html,http://gould.usc.edu/alumni/contactinfo.cfm
D:/data/crawl/PagesDownloaded/httpgouldusceduacademicscertificatesadr.html,http://gould.usc.edu/academics/certificates/adr/
D:/data/crawl/PagesDownloaded/httpgouldusceduacademicsfaculty.html,http://gould.usc.edu/academics/faculty/
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutcontactlecturerscontactInfocfmdetailID71008.html,http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71008
D:/data/crawl/PagesDownloaded/httpgouldusceducareersstudentsfaqs.html,http://gould.usc.edu/careers/students/faqs/
D:/data/crawl/PagesDownloaded/httpgoulduscedulibraryservicesinterlibrarycfm.html,http://gould.usc.edu/library/services/interlibrary.cfm
D:/data/crawl/PagesDownloaded/httpgoulduscedupressadvisories.html,http://gould.usc.edu/press/advisories/
