Successfully Downloaded URL, Size of Downloaded File, Number of Outgoing Links, Content Type
http://gould.usc.edu/how/jd/2-year-jd-program-for-international-lawyers/,67721,286,text/html; charset=UTF-8
http://gould.usc.edu/press/advisories/,67919,292,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4230,65246,279,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/llm/appinfo.cfm,77640,303,text/html; charset=UTF-8
http://gould.usc.edu/faculty/lecturers/,87117,427,text/html; charset=UTF-8
http://gould.usc.edu/students/public-service/,61904,282,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/grants-and-scholarships/,64338,275,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/overview/,61100,275,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/students/,77924,295,text/html; charset=UTF-8
http://gould.usc.edu/events/commencement/,67770,286,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4231,65163,277,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=575,70003,321,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/rothman/scholars.cfm,70713,305,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=career%2Bservices,61355,276,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4236,71916,280,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/practicum/,64134,282,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/,69747,307,text/html; charset=UTF-8
http://gould.usc.edu/library/services/map/,58864,281,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/finaid/apply.cfm,65827,287,text/html; charset=UTF-8
http://gould.usc.edu/about/history/women/,60077,276,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4234,66245,281,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/studentambassadors.cfm,66902,292,text/html; charset=UTF-8
http://gould.usc.edu/academics/certificates/,60157,275,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/viewbook/index.html,55339,80,text/html
http://gould.usc.edu/careers/reciprocity/,60107,275,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/jdapplication.cfm,66285,291,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4235,64841,280,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/news/,70953,307,text/html; charset=UTF-8
http://gould.usc.edu/students/first-generation-professionals/,60847,284,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/academic-calendar/,73360,283,text/html; charset=UTF-8
http://gould.usc.edu/faculty/news/,288690,525,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/rothman/,65348,286,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4238,66822,278,text/html; charset=UTF-8
http://gould.usc.edu/events/,77450,325,text/html; charset=UTF-8
http://gould.usc.edu/about/community/,67851,319,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/faculty/,72816,304,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/earlydecision/details.cfm,66678,285,text/html; charset=UTF-8
http://gould.usc.edu/academics/certificates/business/,74212,282,text/html; charset=UTF-8
http://gould.usc.edu/alumni/contactinfo.cfm,59359,280,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/qualifications-for-admission-to-the-bar/,61585,278,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/curriculum/,74216,282,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4239,64230,278,text/html; charset=UTF-8
http://gould.usc.edu/careers/students/counseling/,62982,275,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4242,63790,278,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/faculty/,87995,365,text/html; charset=UTF-8
http://gould.usc.edu/careers/students/employment/,59622,275,text/html; charset=UTF-8
http://gould.usc.edu/careers/students/faqs/,64496,275,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=transfer%2Bstudents,61370,275,text/html; charset=UTF-8
http://gould.usc.edu/students/students-with-families/,60321,281,text/html; charset=UTF-8
http://gould.usc.edu/academics/media%2Dentertainment%2Dand%2Dtechnology%2Dlaw%2Dprogram/opportunities/,70427,284,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/jdApplication.cfm,66285,291,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4254,66056,279,text/html; charset=UTF-8
http://gould.usc.edu/press/social/twitter/,61822,286,text/html; charset=UTF-8
http://gould.usc.edu/how/transfer/index.cfm,62907,280,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=351,60518,277,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/2-year/,66530,296,text/html; charset=UTF-8
http://gould.usc.edu/careers/employers/,59552,276,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4243,66286,280,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4255,64931,279,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/transfer-student-data/,61677,275,text/html; charset=UTF-8
http://gould.usc.edu/careers/students/,58709,275,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4244,65752,277,text/html; charset=UTF-8
http://gould.usc.edu/careers/contact/,58570,275,text/html; charset=UTF-8
http://gould.usc.edu/about/visit/classroom/,89341,284,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=354,61224,277,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71030,83328,277,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/rothman/details.cfm,66146,285,text/html; charset=UTF-8
http://gould.usc.edu/faculty/workshops/,75762,278,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4240,64757,277,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4253,65891,278,text/html; charset=UTF-8
http://gould.usc.edu/library/services/,59744,279,text/html; charset=UTF-8
http://gould.usc.edu/alumni/getinvolved/committee.cfm,62305,288,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4249,66781,277,text/html; charset=UTF-8
http://gould.usc.edu/press/publications/magazine/,66353,310,text/html; charset=UTF-8
http://gould.usc.edu/why/academics/cle/,66871,309,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=346,61181,277,text/html; charset=UTF-8
http://gould.usc.edu/about/history/,60109,276,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/jd-attrition/,61140,275,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=345,60832,277,text/html; charset=UTF-8
http://gould.usc.edu/about/history/timeline/,108661,301,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4245,63974,287,text/html; charset=UTF-8
http://gould.usc.edu/students/student-services/,62104,275,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/course-descriptions/,128464,275,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4250,63100,278,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2006,140721,544,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70034,61226,277,text/html; charset=UTF-8
http://gould.usc.edu/how/transfer/transfer.cfm,61522,276,text/html; charset=UTF-8
http://gould.usc.edu/academics/alternative-dispute-resolution-program/,74903,296,text/html; charset=UTF-8
http://gould.usc.edu/students/class-and-exam-schedules/,66699,328,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70770,60430,277,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/juris-doctor-degree-requirements/,59723,275,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2007,138132,538,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4208,63905,277,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/finaid/lrap.cfm,67124,286,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4206,63025,278,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=library%2Bhours,61397,276,text/html; charset=UTF-8
http://gould.usc.edu/about/los-angeles/,59007,275,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70769,60050,277,text/html; charset=UTF-8
http://gould.usc.edu/students/academic-journals-and-honors-programs/,64990,283,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/earlydecision/,64720,286,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/waitlist_log_in.cfm,68002,286,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71005,59385,277,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/upper-division-course-offerings/,67016,275,text/html; charset=UTF-8
http://gould.usc.edu/events/printeventinfo.cfm?eventid=5130,59299,278,text/html; charset=UTF-8
http://gould.usc.edu/library/services/borrowing.cfm,60573,278,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71004,59338,277,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4204,73155,282,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/living-expenses/,60064,275,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/faq.cfm,90037,289,text/html; charset=UTF-8
http://gould.usc.edu/library/resources.cfm,68140,326,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2005,75798,324,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4257,62749,279,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71006,59318,277,text/html; charset=UTF-8
http://gould.usc.edu/press/contact/,59283,277,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2009,105704,428,text/html; charset=UTF-8
http://gould.usc.edu/about/los-angeles/getting-around/,61710,278,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/tuition-and-fees/,60197,275,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4209,65955,278,text/html; charset=UTF-8
http://gould.usc.edu/alumni/contact.cfm,61602,280,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/staff/,84278,369,text/html; charset=UTF-8
http://gould.usc.edu/careers/,58647,276,text/html; charset=UTF-8
http://gould.usc.edu/press/publications/clinical/,61838,290,text/html; charset=UTF-8
http://gould.usc.edu/centers/,62009,291,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71001,60747,277,text/html; charset=UTF-8
