Successfully Downloaded URL, Size of Downloaded File, Number of Outgoing Links, Content Type
http://gould.usc.edu/search/?query=academic%2Bcalendar,62113,280,text/html; charset=UTF-8
http://gould.usc.edu/about/los-angeles/attractions/,70624,395,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=career%2Bservices,62123,279,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/class-profile/,60398,280,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/wla.cfm,60419,283,text/html; charset=UTF-8
http://gould.usc.edu/press/advisories/,70163,298,text/html; charset=UTF-8
http://gould.usc.edu/faculty/scholarship/,68847,286,text/html; charset=UTF-8
http://gould.usc.edu/library/services/interlibrary.cfm,63086,286,text/html; charset=UTF-8
http://gould.usc.edu/academics/certificates/,60870,279,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/2-year-jd-program-for-international-lawyers/,68450,290,text/html; charset=UTF-8
http://gould.usc.edu/how/transfer/earlydecision.cfm,62898,279,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/withdrawal-tuition-refund-policy/,62246,280,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/faculty-and-administrators/,63442,279,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/outLaw.cfm,59490,282,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=495,72436,332,text/html; charset=UTF-8
http://gould.usc.edu/careers/reciprocity/,60895,279,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/rothman/scholars.cfm,71455,309,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/internationalRelations.cfm,59314,282,text/html; charset=UTF-8
http://gould.usc.edu/about/class-profile/,58709,280,text/html; charset=UTF-8
http://gould.usc.edu/academics/certificates/adr/,70533,281,text/html; charset=UTF-8
http://gould.usc.edu/library/services/access.cfm,59660,282,text/html; charset=UTF-8
http://gould.usc.edu/students/public-service/,62672,286,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/southasianlawstudentsassociation.cfm,58761,282,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/viewbook/index.html,55339,80,text/html
http://gould.usc.edu/how/jd/rothman/,66056,290,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=application%2Bstatus,62110,280,text/html; charset=UTF-8
http://gould.usc.edu/careers/students/counseling/,63730,279,text/html; charset=UTF-8
http://gould.usc.edu/about/community/,70325,331,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/intellectualProperty.cfm,59211,282,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/overview/,61823,279,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/jd-enrollment-and-ethnicity/,68053,279,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/rothman/bio.cfm,69008,290,text/html; charset=UTF-8
http://gould.usc.edu/faculty/lecturers/,87863,431,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/,70518,311,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/apalsa.cfm,59768,283,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/qualifications-for-admission-to-the-bar/,62351,282,text/html; charset=UTF-8
http://gould.usc.edu/how/transfer/index.cfm,63660,284,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=events,62098,280,text/html; charset=UTF-8
http://gould.usc.edu/careers/students/employment/,60371,279,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/streetLaw.cfm,59492,282,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/finaid/apply.cfm,66579,291,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/students/,78688,299,text/html; charset=UTF-8
http://gould.usc.edu/academics/faculty/,88584,369,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/practicum/,64826,286,text/html; charset=UTF-8
http://gould.usc.edu/students/first-generation-professionals/,61602,288,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/btls.cfm,58479,282,text/html; charset=UTF-8
http://gould.usc.edu/careers/employers/,60262,280,text/html; charset=UTF-8
http://gould.usc.edu/about/history/,60795,280,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=657,72498,333,text/html; charset=UTF-8
http://gould.usc.edu/academics/alternative-dispute-resolution-program/,75663,300,text/html; charset=UTF-8
http://gould.usc.edu/careers/contact/,59312,279,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/pad.cfm,58769,282,text/html; charset=UTF-8
http://gould.usc.edu/about/history/women/,60853,280,text/html; charset=UTF-8
http://gould.usc.edu/faculty/news/,315448,556,text/html; charset=UTF-8
http://gould.usc.edu/press/expert/,60793,281,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/news/,71717,311,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/jlsa.cfm,59400,283,text/html; charset=UTF-8
http://gould.usc.edu/faculty/workshops/,76482,282,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/earlydecision/,65478,290,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=659,72570,333,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/living-expenses/,60784,279,text/html; charset=UTF-8
http://gould.usc.edu/press/publications/magazine/,67105,314,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/sba.cfm,62043,282,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/tuition-and-fees/,60920,279,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/jd-attrition/,61886,279,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/faculty/,73554,308,text/html; charset=UTF-8
http://gould.usc.edu/alumni/class-notes/,65747,290,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=595,72543,333,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/pilf.cfm,59602,283,text/html; charset=UTF-8
http://gould.usc.edu/alumni/contact.cfm,62229,284,text/html; charset=UTF-8
http://gould.usc.edu/events/,77352,308,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/grants-and-scholarships/,65054,279,text/html; charset=UTF-8
http://gould.usc.edu/alumni/contactinfo.cfm,60035,284,text/html; charset=UTF-8
http://gould.usc.edu/events/printeventinfo.cfm?eventid=5721,60102,282,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/curriculum/,74902,286,text/html; charset=UTF-8
http://gould.usc.edu/centers/saks/,63263,303,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/healthlaw.cfm,58580,282,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=655,72576,333,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/uscgovernmentlaw.cfm,58774,282,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/faculty/,88666,369,text/html; charset=UTF-8
http://gould.usc.edu/library/services/map/,59598,285,text/html; charset=UTF-8
http://gould.usc.edu/careers/students/faqs/,65252,279,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/academic-calendar/,74072,287,text/html; charset=UTF-8
http://gould.usc.edu/press/social/twitter/,62620,290,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/lawyersguild.cfm,60226,283,text/html; charset=UTF-8
http://gould.usc.edu/how/transfer/transfer.cfm,62262,280,text/html; charset=UTF-8
http://gould.usc.edu/alumni/getInvolved/committee.cfm,62969,292,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=645,72217,333,text/html; charset=UTF-8
http://gould.usc.edu/giving/choices/donatenow.cfm,63319,289,text/html; charset=UTF-8
http://gould.usc.edu/students/class-and-exam-schedules/,67405,332,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/environmentallaw.cfm,59228,282,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/transfer-student-data/,62381,279,text/html; charset=UTF-8
http://gould.usc.edu/academics/certificates/business/,74976,286,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/jdApplication.cfm,67035,295,text/html; charset=UTF-8
http://gould.usc.edu/students/students-with-families/,61091,285,text/html; charset=UTF-8
http://gould.usc.edu/library/services/,61212,283,text/html; charset=UTF-8
http://gould.usc.edu/students/academic-journals-and-honors-programs/,65741,287,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/acs.cfm,59154,282,text/html; charset=UTF-8
http://gould.usc.edu/alumni/events/receptions.cfm,62798,289,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=575,72549,333,text/html; charset=UTF-8
http://gould.usc.edu/careers/students/programming/,60225,279,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/waitlist_log_in.cfm,68722,290,text/html; charset=UTF-8
http://gould.usc.edu/careers/students/,59441,279,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/2-year/,67386,300,text/html; charset=UTF-8
http://gould.usc.edu/alumni/getinvolved/committee.cfm,63008,292,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2006,141462,548,text/html; charset=UTF-8
http://gould.usc.edu/library/resources.cfm,68921,330,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/lsac/lsacLawSchoolForums.cfm,65198,290,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=565,72256,333,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/finaid/,67387,290,text/html; charset=UTF-8
http://gould.usc.edu/about/los-angeles/getting-around/,62442,282,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2007,138906,542,text/html; charset=UTF-8
http://gould.usc.edu/students/student-services/,62838,279,text/html; charset=UTF-8
http://gould.usc.edu/about/visit/classroom/,86068,288,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/course-descriptions/,70412,279,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/laRaza.cfm,60363,283,text/html; charset=UTF-8
http://gould.usc.edu/careers/,59375,280,text/html; charset=UTF-8
http://gould.usc.edu/events/printeventinfo.cfm?eventid=5130,59922,281,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/finaid/lrap.cfm,67838,290,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/rothman/details.cfm,66861,289,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/blsa.cfm,59794,282,text/html; charset=UTF-8
http://gould.usc.edu/about/visit/walking-tour/,83189,282,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2005,76578,328,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=664,72429,333,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4258,73648,285,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2010,129373,502,text/html; charset=UTF-8
http://gould.usc.edu/why/academics/cle/,67627,313,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=665,72466,333,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2009,106440,432,text/html; charset=UTF-8
http://gould.usc.edu/about/history/interdisciplinary/,61284,280,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/criminal_law_association.cfm,59379,282,text/html; charset=UTF-8
http://gould.usc.edu/giving/choices/annualfund.cfm,62574,290,text/html; charset=UTF-8
http://gould.usc.edu/press/publications/clinical/,62530,294,text/html; charset=UTF-8
http://gould.usc.edu/library/services/borrowing.cfm,61305,282,text/html; charset=UTF-8
http://gould.usc.edu/academics/calendar/,73127,287,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=662,72433,333,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/onlinemsl/,64087,294,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2014,98709,404,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/iraqirefugeeassistance.cfm,59206,284,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4257,63524,283,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2008,144389,556,text/html; charset=UTF-8
http://gould.usc.edu/press/contact/,60014,281,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/gouldSportsClub.cfm,59871,282,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2013,107820,438,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4271,62901,281,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=663,72525,333,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=545,72180,333,text/html; charset=UTF-8
http://gould.usc.edu/about/history/timeline/,109258,305,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2012,121492,482,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/federalistSociety.cfm,58641,282,text/html; charset=UTF-8
http://gould.usc.edu/centers/,62592,295,text/html; charset=UTF-8
http://gould.usc.edu/press/social/,61339,286,text/html; charset=UTF-8
