Successfully Downloaded URL,Size of Downloaded File,Number of Outgoing Links,Content Type
http://gould.usc.edu/how/jd/recruitingSchedule.cfm,65048,291,text/html; charset=UTF-8
http://gould.usc.edu/academics/media%2Dentertainment%2Dand%2Dtechnology%2Dlaw%2Dprogram/opportunities/,71616,290,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/,63072,320,text/html; charset=UTF-8
http://gould.usc.edu/about/board/,65431,282,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=23746,62113,283,text/html; charset=UTF-8
http://gould.usc.edu/faculty/news/,337137,576,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/class-profile/,60600,282,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=322,62856,283,text/html; charset=UTF-8
http://gould.usc.edu/giving/counsel.cfm,66414,287,text/html; charset=UTF-8
http://gould.usc.edu/faculty/distinctions/,90756,324,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/studyabroad.cfm,69025,300,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=68441,61205,282,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/withdrawal-tuition-refund-policy/,62497,282,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/faculty/,73167,308,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=transfer%2Bstudents,62329,281,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/contact/,68201,288,text/html; charset=UTF-8
http://gould.usc.edu/alumni/contactinfo.cfm,60294,286,text/html; charset=UTF-8
http://gould.usc.edu/academics/certificates/adr/,70772,283,text/html; charset=UTF-8
http://gould.usc.edu/academics/faculty/,88800,371,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71008,60378,283,text/html; charset=UTF-8
http://gould.usc.edu/careers/students/faqs/,65448,281,text/html; charset=UTF-8
http://gould.usc.edu/library/services/interlibrary.cfm,63290,288,text/html; charset=UTF-8
http://gould.usc.edu/press/advisories/,71094,301,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=68448,61575,283,text/html; charset=UTF-8
http://gould.usc.edu/library/services/access.cfm,59905,284,text/html; charset=UTF-8
http://gould.usc.edu/press/expert/,61033,283,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71042,61890,283,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/2-year-jd-program-for-international-lawyers/,68671,292,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/jdApplication.cfm,67269,297,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/rothman/scholars.cfm,71671,311,text/html; charset=UTF-8
http://gould.usc.edu/academics/certificates/,61087,281,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71043,64352,282,text/html; charset=UTF-8
http://gould.usc.edu/alumni/class-notes/,65986,292,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/jd-enrollment-and-ethnicity/,68283,281,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=658,61011,283,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/viewbook/index.html,55339,80,text/html
http://gould.usc.edu/careers/reciprocity/,61103,281,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/2-year/,67598,302,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=351,61469,283,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/viewbook/document.pdf,56943,0,application/pdf
http://gould.usc.edu/faculty/lecturers/,88109,433,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/grants-and-scholarships/,65306,281,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=354,62155,283,text/html; charset=UTF-8
http://gould.usc.edu/about/visit/classroom/,85486,290,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/rothman/,66326,292,text/html; charset=UTF-8
http://gould.usc.edu/about/community/,70551,333,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/rothman/details.cfm,67094,291,text/html; charset=UTF-8
http://gould.usc.edu/careers/students/counseling/,63954,281,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71030,84330,283,text/html; charset=UTF-8
http://gould.usc.edu/events/printeventinfo.cfm?eventid=5721,60386,284,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/students/,79072,301,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/evca.cfm,60852,285,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/practicum/,65254,288,text/html; charset=UTF-8
http://gould.usc.edu/library/services/map/,59832,287,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=346,62159,283,text/html; charset=UTF-8
http://gould.usc.edu/how/transfer/index.cfm,63875,286,text/html; charset=UTF-8
http://gould.usc.edu/why/academics/cle/,67813,315,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/qualifications-for-admission-to-the-bar/,62529,284,text/html; charset=UTF-8
http://gould.usc.edu/about/history/women/,61073,282,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/academic-calendar/,74300,289,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/business_law_society.cfm,60448,284,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=345,61834,283,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/onlinemsl/,64325,296,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70034,62138,283,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/realEstate.cfm,59189,284,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/news/,72075,313,text/html; charset=UTF-8
